field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
committee_name,Committee Name,varchar,200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
change_of_address,Change of Address,char,1,4,4,4,4,4,4,4,9,9,9,9,9,9,9,4,4,4,4,4,4,4
address_1,Street Address Line 1,varchar,34,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5
address_2,Street Address Line 2,varchar,34,6,6,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,6,6,6
address_city,City (Address),varchar,30,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,7,7,7,7
address_state,State (Address),char,2,8,8,8,8,8,8,8,7,7,7,7,7,7,7,8,8,8,8,8,8,8
address_zip,Zip code,varchar,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,9,9,9,9,9,9,9
report_period,Report Period,varchar,3,10,10,10,10,10,10,10,11,11,11,11,11,11,11,10,10,10,10,10,10,10
election_code,Election Code,varchar,5,11,11,11,11,11,11,11,12,12,12,12,12,12,12,,,,,,,
election_date,Election Date,int,,12,12,12,12,12,12,12,13,13,13,13,13,13,13,11,11,11,11,11,11,11
election_state,Election State,char,2,13,13,13,13,13,13,13,14,14,14,14,14,14,14,12,12,12,12,12,12,12
coverage_from,Coverage From Date,int,,14,14,14,14,14,14,14,15,15,15,15,15,15,15,13,13,13,13,13,13,13
coverage_to,Coverage To Date,int,,15,15,15,15,15,15,15,16,16,16,16,16,16,16,14,14,14,14,14,14,14
multi_candidate_committee,Qualified Multi-Candidate Committee,char,1,16,16,16,16,16,16,16,10,10,10,10,10,10,10,28,28,28,28,28,28,28
