field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,31,31,31,31,31,31,,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,32,32,32,32,32,,,,,,,,,
back_reference_schedule,Back Reference Schedule Name,varchar,8,5,5,5,5,5,5,5,33,33,33,33,33,,,,,,,,,
entity_type,Entity Type,char,3,6,6,6,6,6,6,6,3,3,3,3,3,3,,,,,,,,
payee_full_name,Payee Full Name (discontinued after v5),varchar,90,,,,,,,,4,4,4,4,4,4,3,,,,,,,
payee_organization_name,Payee Organization Name,varchar,200,7,7,7,7,7,7,7,38,38,38,,,,,3,3,3,3,3,3,3
payee_last_name,Payee Last Name,varchar,30,8,8,8,8,8,8,8,39,39,39,,,,,4,4,4,4,4,4,4
payee_first_name,Payee First Name,varchar,20,9,9,9,9,9,9,9,40,40,40,,,,,5,5,5,5,5,5,5
payee_middle_name,Payee Middle Name,varchar,20,10,10,10,10,10,10,10,41,41,41,,,,,6,6,6,6,6,6,6
payee_name_prefix,Payee Name Prefix,varchar,10,11,11,11,11,11,11,11,42,42,42,,,,,7,7,7,7,7,7,7
payee_name_suffix,Payee Name Suffix,varchar,10,12,12,12,12,12,12,12,43,43,43,,,,,8,8,8,8,8,8,8
payee_address_1,Payee Street Address Line 1,varchar,34,13,13,13,13,13,13,13,5,5,5,5,5,5,4,9,9,9,9,9,9,9
payee_address_2,Payee Street Address Line 2,varchar,34,14,14,14,14,14,14,14,6,6,6,6,6,6,5,10,10,10,10,10,10,10
payee_city,Payee City (Address),varchar,30,15,15,15,15,15,15,15,7,7,7,7,7,7,6,11,11,11,11,11,11,11
payee_state,Payee State (Address),char,2,16,16,16,16,16,16,16,8,8,8,8,8,8,7,12,12,12,12,12,12,12
payee_zip,Payee Zip Code,varchar,9,17,17,17,17,17,17,17,9,9,9,9,9,9,8,13,13,13,13,13,13,13
election_code,Election Code,char,5,18,18,18,18,18,18,18,12,12,12,12,12,12,11,26,26,26,26,25,25,25
election_other_description,Other Election Description,varchar,20,19,19,19,19,19,19,19,13,13,13,13,13,13,12,27,27,27,27,26,26,26
expenditure_date,Expenditure Date,int,,20,20,20,20,20,20,20,14,14,14,14,14,14,13,14,14,14,14,14,14,14
expenditure_amount,Expenditure Amount,"numeric(12, 4)",,21,21,21,21,21,21,21,15,15,15,15,15,15,14,28,28,28,28,27,27,27
semi_annual_refunded_bundled_amount,Semi-Annual Refunded Bundled Amount,"numeric(12, 4)",,22,22,22,22,,,,,,,,,,,29,29,29,,,,
expenditure_purpose_code,Expenditure Purpose Code,char,3,,,23,23,22,22,22,10,10,10,10,10,10,9,,,,,,,
expenditure_purpose_description,Expenditure Purpose Description,varchar,100,23,23,24,24,23,23,23,11,11,11,11,11,11,10,15,15,15,15,15,15,15
expenditure_category_code,Expenditure Category Code,char,3,24,24,25,25,24,24,24,36,36,36,36,,,,22,22,22,22,21,21,21
beneficiary_committee_id,Beneficiary Committee ID,char,9,25,25,26,26,27,27,27,16,16,16,16,16,16,15,,,,,,,
beneficiary_committee_name,Beneficiary Committee Name,varchar,200,26,26,27,27,28,28,,,,,,,,16,16,16,16,16,,,
beneficiary_candidate_id,Beneficiary Candidate ID,char,9,27,27,28,28,29,29,28,17,17,17,17,17,17,22,,,,,,,
beneficiary_candidate_full_name,Beneficiary Candidate Full Name,varchar,38,,,,,,,,18,18,18,18,18,18,23,,,,,,,
beneficiary_candidate_last_name,Beneficiary Candidate Last Name,varchar,30,28,28,29,29,30,30,29,,,,,,,,17,17,17,17,16,16,16
beneficiary_candidate_first_name,Beneficiary Candidate First Name,varchar,20,29,29,30,30,31,31,30,,,,,,,,18,18,18,18,17,17,17
beneficiary_candidate_middle_name,Beneficiary Candidate Middle Name,varchar,20,30,30,31,31,32,32,31,,,,,,,,19,19,19,19,18,18,18
beneficiary_candidate_name_prefix,Beneficiary Candidate Name Prefix,varchar,10,31,31,32,32,33,33,32,,,,,,,,20,20,20,20,19,19,19
beneficiary_candidate_name_suffix,Beneficiary Candidate Name Suffix,varchar,10,32,32,33,33,34,34,33,,,,,,,,21,21,21,21,20,20,20
beneficiary_candidate_office,Beneficiary Candidate Office,char,1,33,33,34,34,35,35,34,19,19,19,19,19,19,24,23,23,23,23,22,22,22
