field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,26,26,26,26,26,26,3,,,,,,,
receipt_line_number,Receipt Line Number,varchar,8,4,4,4,4,4,4,4,27,27,27,,,,,3,3,3,3,3,3,3
entity_type,Entity Type,char,3,5,5,5,5,5,5,5,3,3,3,3,3,3,,,,,,,,
lender_full_name,Lender Full Name (discontinued after v5),varchar,90,,,,,,,,4,4,4,4,4,4,4,,,,,,,
lender_organization_name,Lender Organization Name,varchar,200,6,6,6,6,6,6,6,,,,,,,,4,4,4,4,4,4,4
lender_last_name,Lender Last Name,varchar,30,7,7,7,7,7,7,7,,,,,,,,5,5,5,5,5,5,5
lender_first_name,Lender First Name,varchar,20,8,8,8,8,8,8,8,,,,,,,,6,6,6,6,6,6,6
lender_middle_name,Lender Middle Name,varchar,20,9,9,9,9,9,9,9,,,,,,,,7,7,7,7,7,7,7
lender_name_prefix,Lender Name Prefix,varchar,10,10,10,10,10,10,10,10,,,,,,,,8,8,8,8,8,8,8
lender_name_suffix,Lender Name Suffix,varchar,10,11,11,11,11,11,11,11,,,,,,,,9,9,9,9,9,9,9
lender_address_1,Lender Street Address Line 1,varchar,34,12,12,12,12,12,12,12,5,5,5,5,5,5,5,10,10,10,10,10,10,10
lender_address_2,Lender Street Address Line 2,varchar,34,13,13,13,13,13,13,13,6,6,6,6,6,6,6,11,11,11,11,11,11,11
lender_city,Lender City (Address),varchar,30,14,14,14,14,14,14,14,7,7,7,7,7,7,7,12,12,12,12,12,12,12
lender_state,Lender State (Address),char,2,15,15,15,15,15,15,15,8,8,8,8,8,8,8,13,13,13,13,13,13,13
lender_zip,Lender Zip Code,varchar,9,16,16,16,16,16,16,16,9,9,9,9,9,9,9,14,14,14,14,14,14,14
election_code,Election Code,char,5,17,17,17,17,17,17,17,10,10,10,10,10,10,10,15,15,15,15,15,15,15
election_other_description,Other Election Description,varchar,20,18,18,18,18,18,18,18,11,11,11,11,11,11,11,16,16,16,16,16,16,16
original_loan_amount,Original Loan Amount,"numeric(12, 4)",,19,19,19,19,19,19,19,12,12,12,12,12,12,12,17,17,17,17,17,17,17
loan_payment_to_date,Loan Payment to Date,"numeric(12, 4)",,20,20,20,20,20,20,20,13,13,13,13,13,13,13,18,18,18,18,18,18,18
loan_balance,Loan Balance,"numeric(12, 4)",,21,21,21,21,21,21,21,14,14,14,14,14,14,14,19,19,19,19,19,19,19
loan_incur_date,Date Loan Incurred,int,,22,22,22,22,22,22,22,15,15,15,15,15,15,15,20,20,20,20,20,20,20
loan_due_date,Loan Due Date,int,,23,23,23,23,23,23,23,,,,,,,16,,,,,,,
loan_interest_rate,Loan Interest Rate,varchar,15,24,24,24,24,24,24,24,17,17,17,17,17,17,17,22,22,22,22,22,22,22
loan_secured,Loan Secured,char,1,25,25,25,25,25,25,25,18,18,18,18,18,18,18,23,23,23,23,23,23,23
loan_personal_funds,Loan from Personal Funds,char,1,26,26,26,26,26,26,,,,,,,,,,,,,,,
lender_committee_id,Lender Committee ID,char,9,27,27,27,27,27,27,26,19,19,19,19,19,19,,,,,,,,
lender_candidate_id,Lender Candidate ID,char,9,28,28,28,28,28,28,27,20,20,20,20,20,20,,,,,,,,
lender_candidate_full_name,Lender Candidate Full Name,varchar,38,,,,,,,,21,21,21,21,21,21,,,,,,,,
lender_candidate_last_name,Lender Candidate Last Name,varchar,30,29,29,29,29,29,29,28,,,,,,,,,,,,,,
lender_candidate_first_name,Lender Candidate First Name,varchar,20,30,30,30,30,30,30,29,,,,,,,,,,,,,,
lender_candidate_middle_name,Lender Candidate Middle Name,varchar,20,31,31,31,31,31,31,30,,,,,,,,,,,,,,
lender_candidate_name_prefix,Lender Candidate Name Prefix,varchar,10,32,32,32,32,32,32,31,,,,,,,,,,,,,,
lender_candidate_name_suffix,Lender Candidate Name Suffix,varchar,10,33,33,33,33,33,33,32,,,,,,,,,,,,,,
lender_candidate_office,Lender Candidate Office,char,1,34,34,34,34,34,34,33,22,22,22,22,22,22,,,,,,,,
lender_candidate_state,Lender Candidate State,char,2,35,35,35,35,35,35,34,23,23,23,23,23,23,,,,,,,,
lender_candidate_district,Lender Candidate District,tinyint,,36,36,36,36,36,36,35,24,24,24,24,24,24,,,,,,,,
memo_code,Memo Code,char,1,37,37,37,37,37,37,,,,,,,,,,,,,,,
