field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,,,,,,,,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,3,3,3,3,3,3,3,,,,,,,
lender_organization_name,Lender Organization Name,varchar,200,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,3,3,3,3,3
lender_address_1,Lender Street Address Line 1,varchar,34,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4
lender_address_2,Lender Street Address Line 2,varchar,34,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5
lender_city,Lender City (Address),varchar,30,8,8,8,8,8,8,8,8,8,8,8,8,8,7,6,6,6,6,6,6,6
lender_state,Lender State (Address),char,2,9,9,9,9,9,9,9,9,9,9,9,9,9,8,7,7,7,7,7,7,7
lender_zip,Lender Zip Code,varchar,9,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,8,8
loan_amount,Loan Amount,"numeric(12, 4)",,11,11,11,11,11,11,11,11,11,11,11,11,11,10,9,9,9,9,9,9,9
loan_interest_rate,Loan Interest Rate,varchar,15,12,12,12,12,12,12,12,12,12,12,12,12,12,11,10,10,10,10,10,10,10
loan_incur_date,Date Loan Incurred,int,,13,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11
loan_due_date,Loan Due Date,int,,14,14,14,14,14,14,14,14,14,14,14,14,14,13,12,12,12,12,12,12,12
loan_restructured,Loan Restructured,char,1,15,15,15,15,15,15,15,15,15,15,15,15,15,14,13,13,13,13,13,13,13
original_loan_incur_date,Original Date Loan Incurred,int,,16,16,16,16,16,16,16,16,16,16,16,16,16,15,14,14,14,14,14,14,14
amount_of_this_credit_draw,Amount of This Credit Draw,"numeric(12, 4)",,17,17,17,17,17,17,17,17,17,17,17,17,17,16,15,15,15,15,15,15,15
total_balance,Total Balance,"numeric(12, 4)",,18,18,18,18,18,18,18,18,18,18,18,18,18,17,16,16,16,16,16,16,16
others_liable,Others Liable,char,1,19,19,19,19,19,19,19,19,19,19,19,19,19,18,17,17,17,17,17,17,17
collateral,Collateral,char,1,20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,18,18,18,18,18,18
collateral_description,Collateral Description,varchar,100,21,21,21,21,21,21,21,21,21,21,21,21,21,20,19,19,19,19,19,19,19
collateral_value,Value of Collateral,"numeric(12, 4)",,22,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,20,20,20,20,20
perfected_interest,Perfected Interest,char,1,23,23,23,23,23,23,23,23,23,23,23,23,23,22,21,21,21,21,21,21,21
future_income,Future Income Pledged as Collateral,char,1,24,24,24,24,24,24,24,24,24,24,24,24,24,23,22,22,22,22,22,22,22
future_income_description,Future Income Description,varchar,100,25,25,25,25,25,25,25,25,25,25,25,25,25,24,23,23,23,23,23,23,23
future_income_value,Value of Future Income,"numeric(12, 4)",,26,26,26,26,26,26,26,26,26,26,26,26,26,25,24,24,24,24,24,24,24
depository_account_date,Date Depository Account Established,int,,27,27,27,27,27,27,27,27,27,27,27,27,27,26,25,25,25,25,25,25,25
depository_account_location,Depository Account Location,varchar,200,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,26,26
depository_account_address_1,Depository Account Address Line 1,varchar,34,29,29,29,29,29,29,29,29,29,29,29,29,29,28,27,27,27,27,27,27,27
depository_account_address_2,Depository Account Address Line 2,varchar,34,30,30,30,30,30,30,30,30,30,30,30,30,30,29,28,28,28,28,28,28,28
depository_account_city,Depository Account City (Address),varchar,30,31,31,31,31,31,31,31,31,31,31,31,31,31,30,29,29,29,29,29,29,29
depository_account_state,Depository Account State (Address),char,2,32,32,32,32,32,32,32,32,32,32,32,32,32,31,30,30,30,30,30,30,30
depository_account_zip,Depository Account Zip Code,varchar,9,33,33,33,33,33,33,33,33,33,33,33,33,33,32,31,31,31,31,31,31,31
depository_account_authorized_date,Date Depository Account Authorized,int,,34,34,34,34,34,34,34,34,34,34,34,34,34,33,,,,,,,
loan_basis_description,Description of Loan Basis,varchar,100,35,35,35,35,35,35,35,35,35,35,35,35,35,34,32,32,32,32,32,32,32
treasurer_full_name,Treasurer Full Name (discontinued after v5.3),varchar,38,,,,,,,,36,36,36,36,36,36,35,,,,,,,
