field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,37,37,37,37,37,37,,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,40,40,40,40,40,,,,,,,,,
back_reference_schedule,Back Reference Schedule Name,varchar,8,5,5,5,5,5,5,5,41,41,41,41,41,,,,,,,,,
entity_type,Entity Type,char,3,6,6,6,6,6,6,6,3,3,3,3,3,3,,,,,,,,
payee_full_name,Payee Full Name (discontinued after v5),varchar,90,,,,,,,,4,4,4,4,4,4,3,,,,,,,
payee_organization_name,Payee Organization Name,varchar,200,7,7,7,7,7,7,7,,,,,,,,3,3,3,3,3,3,3
payee_last_name,Payee Last Name,varchar,30,8,8,8,8,8,8,8,,,,,,,,4,4,4,4,4,4,4
payee_first_name,Payee First Name,varchar,20,9,9,9,9,9,9,9,,,,,,,,5,5,5,5,5,5,5
payee_middle_name,Payee Middle Name,varchar,20,10,10,10,10,10,10,10,,,,,,,,6,6,6,6,6,6,6
payee_name_prefix,Payee Name Prefix,varchar,10,11,11,11,11,11,11,11,,,,,,,,7,7,7,7,7,7,7
payee_name_suffix,Payee Name Suffix,varchar,10,12,12,12,12,12,12,12,,,,,,,,8,8,8,8,8,8,8
payee_address_1,Payee Street Address Line 1,varchar,34,13,13,13,13,13,13,13,5,5,5,5,5,5,4,9,9,9,9,9,9,9
payee_address_2,Payee Street Address Line 2,varchar,34,14,14,14,14,14,14,14,6,6,6,6,6,6,5,10,10,10,10,10,10,10
payee_city,Payee City (Address),varchar,30,15,15,15,15,15,15,15,7,7,7,7,7,7,6,11,11,11,11,11,11,11
payee_state,Payee State (Address),char,2,16,16,16,16,16,16,16,8,8,8,8,8,8,7,12,12,12,12,12,12,12
payee_zip,Payee Zip Code,varchar,9,17,17,17,17,17,17,17,9,9,9,9,9,9,8,13,13,13,13,13,13,13
election_code,Election Code,char,5,18,18,18,18,18,18,18,42,42,42,42,,,,29,28,28,28,28,28,28
election_other_description,Other Election Description,varchar,20,19,19,19,19,19,19,19,43,43,43,43,,,,30,29,29,29,29,29,29
dissemination_date,Dissemination Date,int,,20,,,,,,,,,,,,,,14,,,,,,
expenditure_amount,Expenditure Amount,"numeric(12, 4)",,21,21,21,21,21,21,21,12,12,12,12,12,12,11,15,15,15,15,15,15,15
disbursement_date,Disbursement Date,int,,22,20,20,20,20,20,20,11,11,11,11,11,11,10,16,14,14,14,14,14,14
amount_spent_year_to_date_per_election,Amount Spent Calendar Year-to-Date Per Election for Office Sought,"numeric(12, 4)",,23,22,22,22,22,22,22,46,46,46,46,,,,28,27,27,27,27,27,27
expenditure_purpose_code,Expenditure Purpose Code,char,3,,,23,23,23,23,23,45,45,45,45,,,,,,,,,,
expenditure_purpose,Expenditure Purpose,varchar,100,24,23,24,24,24,24,24,10,10,10,10,10,10,9,17,16,16,16,16,16,16
expenditure_category_code,Expenditure Category Code,char,3,25,24,25,25,25,25,25,44,44,44,44,,,,18,17,17,17,17,17,17
payee_committee_id,Payee Committee ID,char,9,26,25,26,26,26,26,26,19,19,19,19,19,19,,,,,,,,
support_oppose_code,Support/Oppose Code,char,3,27,26,27,27,27,27,27,13,13,13,13,13,13,17,,,,,,,
support_oppose_candidate_id,Support/Oppose Candidate ID,char,9,28,27,28,28,28,28,28,14,14,14,14,14,14,12,27,26,26,26,26,26,26
support_oppose_candidate_full_name,Support/Oppose Candidate Full Name,varchar,38,,,,,,,,15,15,15,15,15,15,13,,,,,,,
support_oppose_candidate_last_name,Support/Oppose Candidate Last Name,varchar,30,29,28,29,29,29,29,29,,,,,,,,19,18,18,18,18,18,18
support_oppose_candidate_first_name,Support/Oppose Candidate First Name,varchar,20,30,29,30,30,30,30,30,,,,,,,,20,19,19,19,19,19,19
support_oppose_candidate_middle_name,Support/Oppose Candidate Middle Name,varchar,20,31,30,31,31,31,31,31,,,,,,,,21,20,20,20,20,20,20
support_oppose_candidate_name_prefix,Support/Oppose Candidate Name Prefix,varchar,10,32,31,32,32,32,32,32,,,,,,,,22,21,21,21,21,21,21
support_oppose_candidate_name_suffix,Support/Oppose Candidate Name Suffix,varchar,10,33,32,33,33,33,33,33,,,,,,,,23,22,22,22,22,22,22
