field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_3,field_order_2,field_order_1,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,37,37,37,37,37,37,,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,40,40,40,40,40,,,,,,,,,
back_reference_schedule,Back Reference Schedule Name,varchar,8,5,5,5,5,5,5,5,41,41,41,41,41,,,,,,,,,
designated_to_make_coordinated_expenditures,Filer Designated to Make Coordinated Expenditures,char,1,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,4,4,4,4
designating_committee_id,Designating Committee ID,char,9,7,7,7,7,7,7,7,4,4,4,4,4,4,4,,,,,,,
designating_committee_name,Designating Committee Name,varchar,200,8,8,8,8,8,8,8,5,5,5,5,5,5,,4,4,4,5,5,5,5
subordinate_committee_id,Subordinate Committee ID,char,9,9,9,9,9,9,9,9,6,6,6,6,6,6,,,,,,,,
subordinate_committee_name,Subordinate Committee Name,varchar,200,10,10,10,10,10,10,10,7,7,7,7,7,7,5,5,5,5,6,6,6,6
subordinate_address_1,Subordinate Street Address Line 1,varchar,34,11,11,11,11,11,11,11,8,8,8,8,8,8,6,6,6,6,7,7,7,7
subordinate_address_2,Subordinate Street Address Line 2,varchar,34,12,12,12,12,12,12,12,9,9,9,9,9,9,7,7,7,7,8,8,8,8
subordinate_city,Subordinate City (Address),varchar,30,13,13,13,13,13,13,13,10,10,10,10,10,10,8,8,8,8,9,9,9,9
subordinate_state,Subordinate State (Address),char,2,14,14,14,14,14,14,14,11,11,11,11,11,11,9,9,9,9,10,10,10,10
subordinate_zip,Subordinate Zip Code,varchar,9,15,15,15,15,15,15,15,12,12,12,12,12,12,10,10,10,10,11,11,11,11
entity_type,Entity Type,char,3,16,16,16,16,16,16,16,13,13,13,13,13,13,,,,,,,,
payee_full_name,Payee Full Name (discontinued after v5),varchar,90,,,,,,,,14,14,14,14,14,14,11,,,,,,,
payee_organization_name,Payee Organization Name,varchar,200,17,17,17,17,17,17,17,,,,,,,,11,11,11,12,12,12,12
payee_last_name,Payee Last Name,varchar,30,18,18,18,18,18,18,18,,,,,,,,12,12,12,13,13,13,13
payee_first_name,Payee First Name,varchar,20,19,19,19,19,19,19,19,,,,,,,,13,13,13,14,14,14,14
payee_middle_name,Payee Middle Name,varchar,20,20,20,20,20,20,20,20,,,,,,,,14,14,14,15,15,15,15
payee_name_prefix,Payee Name Prefix,varchar,10,21,21,21,21,21,21,21,,,,,,,,15,15,15,16,16,16,16
payee_name_suffix,Payee Name Suffix,varchar,10,22,22,22,22,22,22,22,,,,,,,,16,16,16,17,17,17,17
payee_address_1,Payee Street Address Line 1,varchar,34,23,23,23,23,23,23,23,15,15,15,15,15,15,12,17,17,17,18,18,18,18
payee_address_2,Payee Street Address Line 2,varchar,34,24,24,24,24,24,24,24,16,16,16,16,16,16,13,18,18,18,19,19,19,19
payee_city,Payee City (Address),varchar,30,25,25,25,25,25,25,25,17,17,17,17,17,17,14,19,19,19,20,20,20,20
payee_state,Payee State (Address),char,2,26,26,26,26,26,26,26,18,18,18,18,18,18,15,20,20,20,21,21,21,21
payee_zip,Payee Zip Code,varchar,9,27,27,27,27,27,27,27,19,19,19,19,19,19,16,21,21,21,22,22,22,22
expenditure_date,Expenditure Date,int,,28,28,28,28,28,28,28,22,22,22,22,22,22,24,24,24,24,25,25,25,25
expenditure_amount,Expenditure Amount,"numeric(12, 4)",,29,29,29,29,29,29,29,23,23,23,23,23,23,25,34,34,34,35,35,35,35
aggregate_expended_for_general_election,Aggregate Expended for General Election,"numeric(12, 4)",,30,30,30,30,30,30,30,20,20,20,20,20,20,22,33,33,33,34,34,34,34
expenditure_purpose_code,Expenditure Purpose Code,char,3,,,31,31,31,31,31,44,44,44,44,,,,,,,,,,
expenditure_purpose_description,Expenditure Purpose Description,varchar,100,31,31,32,33,33,33,33,21,21,21,21,21,21,23,22,22,22,23,23,23,23
expenditure_category_code,Expenditure Category Code,char,3,32,32,33,34,35,36,37,43,43,43,43,,,,23,23,23,24,24,24,24
payee_committee_id,Payee Committee ID,char,9,33,33,34,35,36,37,38,24,24,24,24,24,24,,,,,,,,
payee_candidate_id,Payee Candidate ID,char,9,34,34,35,36,37,38,39,25,25,25,25,25,25,17,,,,,,,
