field_name,pretty_name,type,len,field_order_8_1,field_order_8,field_order_7,field_order_6_4,field_order_6_3,field_order_6_2,field_order_6_1,field_order_5_3,field_order_5_2,field_order_5_1,field_order_5,field_order_paper_3_1,field_order_paper_3_0,field_order_paper_2_6,field_order_paper_2_4,field_order_paper_2_3,field_order_paper_2_2,field_order_paper_1_0
form_type,Electronic Form Type,varchar,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
committee_id,Filer Committee ID,char,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
transaction_id,Transaction ID,varchar,20,3,3,3,3,3,3,3,39,39,39,39,,,,,,,
back_reference_transaction_id,Back Reference Transaction ID,varchar,20,4,4,4,4,4,4,4,40,40,40,40,,,,,,,
back_reference_schedule,Back Reference Schedule Name,varchar,8,5,5,5,5,5,5,5,41,41,41,41,,,,,,,
entity_type,Entity Type,char,3,6,6,6,6,6,6,6,3,3,3,3,,,,,,,
payee_full_name,Payee Full Name (discontinued after v5.3),varchar,90,,,,,,,,4,4,4,4,,,,,,,
payee_organization_name,Payee Organization Name,varchar,200,7,7,7,7,7,7,7,,,,,3,3,3,3,3,3,3
payee_last_name,Payee Last Name,varchar,30,8,8,8,8,8,8,8,,,,,4,4,4,4,4,4,4
payee_first_name,Payee First Name,varchar,20,9,9,9,9,9,9,9,,,,,5,5,5,5,5,5,5
payee_middle_name,Payee Middle Name,varchar,20,10,10,10,10,10,10,10,,,,,6,6,6,6,6,6,6
payee_name_prefix,Payee Name Prefix,varchar,10,11,11,11,11,11,11,11,,,,,7,7,7,7,7,7,7
payee_name_suffix,Payee Name Suffix,varchar,10,12,12,12,12,12,12,12,,,,,8,8,8,8,8,8,8
payee_address_1,Payee Street Address Line 1,varchar,34,13,13,13,13,13,13,13,5,5,5,5,9,9,9,9,9,9,9
payee_address_2,Payee Street Address Line 2,varchar,34,14,14,14,14,14,14,14,6,6,6,6,10,10,10,10,10,10,10
payee_city,Payee City (Address),varchar,30,15,15,15,15,15,15,15,7,7,7,7,11,11,11,11,11,11,11
payee_state,Payee State (Address),char,2,16,16,16,16,16,16,16,8,8,8,8,12,12,12,12,12,12,12
payee_zip,Payee Zip Code,varchar,9,17,17,17,17,17,17,17,9,9,9,9,13,13,13,13,13,13,13
activity_event_name,Activity or Event Name/Identifier,varchar,100,18,18,18,18,18,18,18,,,,,,,,,,,
expenditure_date,Expenditure Date,int,,19,19,19,19,19,19,19,13,13,13,13,21,21,21,21,21,21,21
total_amount,Total Amount,"numeric(12, 4)",,20,20,20,20,20,20,20,14,14,14,14,24,24,24,24,24,24,24
federal_amount,Federal Amount,"numeric(12, 4)",,21,21,21,21,21,21,21,15,15,15,15,22,22,22,22,22,22,22
non_federal_amount,Non-Federal/Levin Amount,"numeric(12, 4)",,22,22,22,22,22,22,22,16,16,16,16,23,23,23,23,23,23,23
